cz,Name,College_Graduation_Rate_rP_gP_pall,EmploymentRate,JobDensity
cz31404,Alpine,0.2765,0.7105,0.6756
cz33601,Lawton,0.2761,0.7686,21.58
cz11403,Sault Ste. Marie,0.2761,0.7971,6.311
cz32502,Childress,0.2757,0.7799,2.125
cz6100,Gadsden,0.2755,0.7347,42.97
cz38700,Longview,0.2751,0.7531,17.48
cz36302,Salmon,0.2747,0.7984,0.5413
cz21102,Amery,0.2746,0.8213,16.96
cz32801,Waco,0.2746,0.7614,35.8
cz12502,Washington Court House,0.2746,0.7557,32.35
cz30300,Fayetteville,0.2745,0.7515,61.09
cz30902,Littlefield,0.2741,0.778,4.444
cz26004,International Falls,0.274,0.8206,1.987
cz8201,Barnwell,0.2739,0.7541,11.89
cz33902,Sherman,0.2736,0.7528,32.16
cz32201,Huntsville,0.2733,0.7578,19.13
cz10000,Panama City,0.2733,0.7506,48.78
cz33300,Tyler,0.2726,0.7464,38.1
cz3400,Houma,0.2724,0.7501,39.86
